fb2624e43f3c4277448abe268cde571e-layout-bundle.css,160.3,unprocessed,high,58,high,7-8
fl-about-layout.css,103.8,unprocessed,high,56,high,7-8
fl-careers-layout.css,88.2,unprocessed,medium,28,medium,9-12
fl-clients-alt-bundle.css,159.0,unprocessed,high,58,high,7-8
fl-clients-bundle.css,52.1,unprocessed,medium,24,high,7-8
fl-clients-layout.css,126.0,unprocessed,high,55,high,7-8
fl-component-layout.css,117.4,unprocessed,medium,48,high,7-8
fl-contact-layout.css,53.0,unprocessed,high,15,high,7-8
fl-foundation.css,2.3,critical-infrastructure,low,0,none,n/a
fl-homepage-layout.css,292.4,unprocessed,high,125,high,7-8
fl-service-detail-layout.css,126.1,unprocessed,high,66,high,7-8
fl-services-layout.css,153.2,unprocessed,high,75,high,7-8
fl-use-cases-layout.css,153.3,unprocessed,high,73,high,7-8
footer.css,1.9,unprocessed,low,0,low,13-15
foundations/css-variables.css,0.4,critical-infrastructure,low,0,none,n/a
homepage-layout.css,55.8,unprocessed,high,15,high,7-8
homepage.css,50.8,unprocessed,medium,24,medium,9-12
mobile-fixes.css,0.4,unprocessed,low,0,low,13-15
navigation.css,6.9,unprocessed,low,0,low,13-15
pagination.css,1.1,unprocessed,low,0,low,13-15
services-layout.css,30.7,unprocessed,high,0,high,7-8
single-post.css,0.6,unprocessed,low,0,low,13-15
skin-65eda28877e04.css,72.4,unprocessed,high,0,high,7-8
style.css,1.8,unprocessed,low,1,low,13-15
swiper.min.css,19.3,critical-infrastructure,low,0,none,n/a
technologies.css,1.3,unprocessed,low,2,low,13-15
theme-main.css,76.8,unprocessed,high,0,high,7-8
use-cases-dynamic.css,2.9,unprocessed,low,0,low,13-15
utilities.css,1.1,unprocessed,low,0,low,13-15
utilities/_consolidated-utilities.css,1.6,unprocessed,low,0,low,13-15
utilities/c-spacing.css,12.2,unprocessed,high,0,high,7-8
utilities/clearfix.css,0.2,unprocessed,low,0,low,13-15
utilities/color-accessibility.css,4.4,unprocessed,low,0,low,13-15
utilities/colors.css,5.0,unprocessed,low,0,low,13-15
utilities/colors/backgrounds.css,0.3,unprocessed,low,0,low,13-15
utilities/components/powerpack/content-grid.css,10.1,unprocessed,low,0,low,13-15
utilities/components/powerpack/infobox.css,1.1,unprocessed,low,0,low,13-15
utilities/components/powerpack/pp-icon.css,0.7,unprocessed,low,0,low,13-15
utilities/components/powerpack/pp-list.css,0.6,unprocessed,low,0,low,13-15
utilities/display.css,0.3,unprocessed,low,0,low,13-15
utilities/fl-builder-basic.css,0.7,unprocessed,low,0,low,13-15
utilities/fl-builder-components.css,4.8,unprocessed,low,0,low,13-15
utilities/fl-builder-grid.css,7.9,unprocessed,low,0,low,13-15
utilities/fl-builder-visibility.css,1.7,unprocessed,low,0,low,13-15
utilities/flexbox.css,0.8,unprocessed,low,0,low,13-15
utilities/foundation/reset.css,0.4,unprocessed,low,0,low,13-15
utilities/foundation/screen-reader.css,0.7,unprocessed,low,0,low,13-15
